Name,IMDB,Rotten Tomatoes,Genre,No. of Seasons
Gotham,7.8,77%,Action,5
Vikings,8.5,93%,Action,6
GoT,9.2,97%,Action,8
Money Heist,8.2,93%,Action,5
Daredevil,8.6,92%,Action,3
The Witcher,8.2,81%,Action,2
The Wheel of Time,7.3,82%,Action,1
Cobra Kai,8.6,95%,Action,4
Squid Game,8.2,94%,Action,1
Prison Break,8.3,60%,Action,5
Utopia,	8.4,100%,Sci-fi,1
Dark,8.8,95%,Sci-fi,3
Black Mirror,8.8,84%,Sci-fi,5
Sense8,8.3,86%,Sci-fi,2
The 100,7.6,93%,Sci-fi,7
Altered Carbon,8.0,75%,Sci-fi,2
Stranger Things,8.7,93%,Sci-fi,3
Star Trek: The Original	Series,8.3,80%,Sci-fi,3
Dark Matter,7.5,89%,Sci-fi,3
Travelers,8.1,100%,Sci-fi,3
Vikings,8.5,93%,Adventure,6
The Witcher,8.2,81%,Adventure,2
The Wheel of Time,7.3,82%,Adventure,1
Arrow,7.5,86%,Adventure,8
Smallville,7.5,78%,Adventure,10
Battlestar Galactica,8.7,95%,Adventure,4
GoT,9.2,97%,Adventure,8
The Umbrella Academy,8.0,83%,Adventure,2
Lost in Space,7.3,84%,Adventure,3
Friends,8.8,82%,Rom-Com,10
The Big Bang Theory,8.1,92%,Rom-Com,12
Emily in Paris,7.0,65%,Rom-Com,2
Modern Family,8.4,89%,Rom-Com,11
Insecure,7.9,97%,Rom-Com,5
How I Met Your Mother,8.3,78%,Rom-Com,9
Love Life,7.5,79%,Rom-Com,2
Dash & Lily,7.5,100%,Rom-Com,1
Love,7.6,94%,Rom-Com,3
Little Things,8.3,45%,Rom-Com,4
Gotham,7.8,77%,Drama,5
Utopia,8.4,100%,Drama,1
Stranger Things,8.7,93%,Drama,3
Dark,8.8,95%,Drama,3
Walking Dead,8.2,79%,Drama,11
Breaking Bad,9.4,91%,Drama,5
Lucifer,8.1,77%,Drama,6
Narcos,8.8,89%,Drama,3
TVD,7.7,86%,Drama,8
Vikings,8.5,93%,Drama,6
GoT,9.2,97%,Drama,8
Money Heist,8.2,93%,Drama,5
Peaky Blinders,8.8,92%,Drama,6
Stranger Things,8.7,93%,Horror,3
Walking Dead,8.2,79%,Horror,11
TVD,7.7,92%,Horror,8
Supernatural,8.4,93%,Horror,15
The Originals,8.2,84%,Horror,5
Hannibal,8.5,92%,Horror,3
Grimm,7.8,89%,Horror,6
The Strain,7.3,79%,Horror,4
Scream : The TV Series,7.1,61%,Horror,2	
The Order,6.8,100%,Horror,2
Dark,8.8,95%,Crime,3
Breaking Bad,9.4,91%,Crime,5
Lucifer,8.1,77%,Crime,6
Narcos,8.8,89%,Crime,3
Money Heist,8.2,93%,Crime,5
Peaky Blinders,8.8,92%,Crime,6
Daredevil,8.6,92%,Crime,3
Prison Break,8.3,60%,Crime,5
The X-Files,8.6,75%,Crime,11
Jessica Jones,7.9,83%,Crime,3
Breaking Bad,9.4,91%,Thriller,5
Walking Dead,8.2,79%,Thriller,11
The Man in the High Castle,8.0,84%,Thriller,4
Money Heist,8.2,93%,Thriller,5
The Sinner,7.9,88%,Thriller,3
You,7.7,91%,Thriller,3
Stranger Things,8.7,93%,Thriller,3
Criminal Minds,8.1,46%,Thriller,15
Black Mirror,8.8,84%,Thriller,5
Sherlock,9.1,78%,Thriller,4
Inception,8.8,87%,Action,
The Matrix,8.7,88%,Action,
Jurassic Park,8.1,92%,Action,
Furious 7,7.1,82%,Action,
Avengers: Endgame,8.4,94%,Action,
Avengers: Infinity War,8.4,82%,Action,
The Dark Knight,9.0,94%,Action,
Logan,8.1,94%,Action,
Tenet,7.4,69%,Action,
Mission Impossible: Fallout,7.7,97%,Action,
Inception,8.8,87%,Sci-fi,
The Matrix,8.7,88%,Sci-fi,
Interstellar,8.6,72%,Sci-fi,
Jurassic Park,8.1,92%,Sci-fi,
The Martian,8.0,91%,Sci-fi,
The Terminator,8.0,100%,Sci-fi,
The Invisible Man,7.1,92%,Sci-fi,
